iso3,country,year,gdp_pc,invest_gdp,trade_gdp,inflation,pop_growth,industry_gdp,tourism_arrivals
ALB,Albania,1994,1367.22058963712,18.8965848987739,53.1025847356112,22.5650526933696,-0.613880506929603,,
ALB,Albania,1995,1558.96638565461,16.4271239839877,40.1386989518314,7.79321853789215,-0.617703658436963,19.7520120174809,304000.0
ALB,Albania,1996,1683.76965547424,21.1475152669262,44.4117820054663,12.7254778087102,-0.62151139901728,19.2241466662591,287000.0
ALB,Albania,1997,1495.90035328523,19.7587807672594,44.7293780649181,33.1802743753956,-0.625430096900055,20.209552986729,119000.0
ALB,Albania,1998,1630.43874131845,22.7895725962923,47.1306266993222,20.6428588670596,-0.629334392525913,16.9172110795014,184000.0
ALB,Albania,1999,1841.80762760566,24.2715109633495,49.8954184095195,0.389437653561628,-0.63335227398725,18.5232144781417,371000.0
ALB,Albania,2000,1991.91435867116,34.0401392244169,61.6092610436407,0.0500181363468103,-0.637356833943492,21.712185305831,317000.0
ALB,Albania,2001,2188.91854451375,38.2280453184166,64.2474462587009,3.10758827031435,-0.93847042771206,24.386649861103,354000.0
ALB,Albania,2002,2297.10853513924,38.5753358181086,65.9914650336802,7.77052583431551,-0.299876697084691,26.2383265737354,470000.0
ALB,Albania,2003,2428.68934653563,36.7221284326025,64.8232150960777,0.484002611818503,-0.374149169291299,27.084687755804,557000.0
ALB,Albania,2004,2567.29763687121,36.3319472329288,65.0379383187697,2.28001916938099,-0.417931377925999,27.7299752177294,645000.0
ALB,Albania,2005,2712.86983830331,38.3843892451909,69.1162926602322,2.36658195679795,-0.511790116421897,28.1372131604488,748000.0
ALB,Albania,2006,2894.36032580174,37.3389564722485,72.2019089483674,2.37072831904284,-0.630911244851673,28.4284255205783,937000.0
ALB,Albania,2007,3105.8796756386,35.6688758642439,79.9119008919954,2.93268248162317,-0.75571875541991,28.5772545670045,1127000.0
ALB,Albania,2008,3345.98161761476,33.3056707670518,75.2485472798728,3.32087090389275,-0.767342959142321,28.5616497223775,1420000.0
ALB,Albania,2009,3459.24695646692,32.4404588015772,73.3213575646169,2.26692209450826,-0.673894046451936,27.5678722962167,1856000.0
ALB,Albania,2010,3579.82413181046,32.4926226328977,75.5325329687378,3.6271009151748,-0.49646196338738,27.4749142839601,2417000.0
ALB,Albania,2011,3677.89457937717,33.8376091539876,80.6989985298954,3.42807130141501,-0.269017331764615,26.9409865024688,2932000.0
ALB,Albania,2012,3771.84781862015,29.7150278852687,76.9683583166821,2.03159268395296,-1.54313670532257,25.4077242038709,3514000.0
ALB,Albania,2013,3895.89975621942,29.0566378899977,75.7506185619748,1.93762080205223,-1.54314471365633,25.506803612245,3256000.0
ALB,Albania,2014,4045.11934884933,28.3047822758213,75.0212023084129,1.62586504402614,-1.54313753739282,23.8286690584956,3673000.0
ALB,Albania,2015,4199.53912925398,27.8134648405134,71.2794476606014,1.89617402592356,-1.54312006878448,24.4814091473313,4131000.0
ALB,Albania,2016,4431.55635814168,26.814346013014,74.0144504546815,1.27543168367423,-1.54313470861992,23.8670178864359,4736000.0
ALB,Albania,2017,4648.23078660658,27.657593194662,76.7873817898989,1.98666133171194,-1.54315156766944,22.9533327106507,5118000.0
ALB,Albania,2018,4893.82375538717,27.1252994132038,75.6940783717425,2.02805963071135,-1.54309991591532,23.7535886253159,5927000.0
ALB,Albania,2019,5072.43648354739,25.2875256073276,75.382128932689,1.41109078954242,-1.54313709096794,22.9655210859374,6406000.0
ALB,Albania,2020,4980.61699524696,26.2183472454095,59.5206994391875,1.62088661717021,-1.54315589345436,23.4687164183412,2658000.0
ALB,Albania,2021,5511.75743402862,28.6722669213413,75.5904040905009,2.04147163139545,-1.54312080996395,22.4341412350759,
ALB,Albania,2022,5867.65096230557,26.8023654741294,84.6980435944865,6.72520271530059,-1.54315667695786,23.0250522159549,
ALB,Albania,2023,6204.43525612114,23.4392861436214,82.3524933990723,4.75834555150038,-1.64410790425763,23.160711973189,
ALB,Albania,2024,6549.23387415397,24.9514965978049,79.4546360752224,2.21587375089992,-1.44214414486444,22.4011031082403,
ARM,Armenia,1994,857.394474812969,27.9421579326358,112.429364602262,3373.75944336293,-2.60275046427601,,
ARM,Armenia,1995,932.357829471807,20.8085693442274,86.1148570667578,175.951325534583,-1.70949509169847,,12000.0
ARM,Armenia,1996,995.728275319872,21.0954471662552,79.2295601199241,18.681185640036,-0.87594292287609,,13000.0
ARM,Armenia,1997,1039.0798243009,23.2656792922768,78.5477450545048,13.960764121791,-0.994517948945717,,23000.0
ARM,Armenia,1998,1128.09888845227,22.6863518699904,71.8424518815414,8.67248632385158,-1.1739815592385,,32000.0
ARM,Armenia,1999,1180.45341995952,20.7688804703858,70.5604791440404,0.648245760470385,-1.28976124297341,,41000.0
ARM,Armenia,2000,1229.21510436102,21.92233140183,72.2333302273367,-0.790883768934757,1.68478463633775,,45000.0
ARM,Armenia,2001,1351.12072694555,22.9043552862001,69.8642663925336,3.1459046468502,-0.289138848080883,,123000.0
ARM,Armenia,2002,1535.20452885187,25.4182967616869,73.9845018432309,1.06004929341667,-0.374321979277905,,162000.0
ARM,Armenia,2003,1759.64684829386,28.3479499830947,80.0513676022426,4.7215533660534,-0.542125640304999,,206000.0
ARM,Armenia,2004,1955.22262459229,29.1225577000264,73.0706339919371,6.96126135875795,-0.554559192905497,,263000.0
ARM,Armenia,2005,2240.09273209788,35.765438994108,70.1397385835334,0.638928002410097,-0.586251738490671,,319000.0
ARM,Armenia,2006,2551.43546358452,42.2254576837845,61.0301379818566,2.89235662459004,-0.615288463799411,,382000.0
ARM,Armenia,2007,2919.3734936373,44.3516229755633,56.9750470853147,4.40736089644516,-0.631969382170487,,511000.0
ARM,Armenia,2008,3141.33193500774,47.9428358213473,54.5423279613666,8.94995335353387,-0.655422477046795,,558000.0
ARM,Armenia,2009,2716.97436280471,41.1450508029059,57.2742357441995,3.40676682683801,-0.685835845567342,,575000.0
ARM,Armenia,2010,2796.08143428043,38.8147549853077,64.642975973633,8.17636138473952,-0.693856288987436,,684000.0
ARM,Armenia,2011,2943.83687119315,31.9217989798477,69.4355736620453,7.65000807859294,-0.556590762896162,,758000.0
ARM,Armenia,2012,3159.75860786889,24.6809527475996,75.9616759606704,2.55802007757907,-0.125578337719131,27.8270946139077,963000.0
ARM,Armenia,2013,3266.29882999873,22.1524900726313,77.5550481598824,5.78966778544651,-0.0694662703047376,26.7090481417071,1084000.0
ARM,Armenia,2014,3393.09252326884,21.2830406859193,75.778866962639,2.98130868933672,-0.271712284863074,25.2705329463993,1204000.0
ARM,Armenia,2015,3512.39350276709,20.7305301265762,71.6820743427575,3.73169119261693,-0.305729335573084,25.7086994351611,1192000.0
ARM,Armenia,2016,3533.88503607007,18.0155086734171,76.0779674593548,-1.403607559009,-0.410212518071397,25.5771330395605,1260000.0
ARM,Armenia,2017,3815.3747426037,18.4217402148728,87.202376539837,0.969553268816138,-0.432038450211669,25.8095323791656,1495000.0
ARM,Armenia,2018,4027.83393010979,22.3997393267701,92.473107021212,2.52023382001638,-0.349674218173286,24.7565578476257,1652000.0
ARM,Armenia,2019,4343.45839583019,17.4085294108567,97.847004865327,1.44344660770698,-0.219168932037313,24.9716084573435,1894000.0
ARM,Armenia,2020,4032.09043454955,19.663832943599,70.1213571368789,1.21143577838465,-0.0337609726366775,26.8172956979296,375000.0
ARM,Armenia,2021,4264.79961505187,22.9638762261581,79.2489057647112,7.18483629443371,0.0270096898904032,26.3643404113901,
ARM,Armenia,2022,4791.00481712183,22.2551321660516,103.878629213508,8.64091108973855,0.2326562627468,25.4370966437794,
ARM,Armenia,2023,5197.23509013575,22.9413054452812,123.418750077627,1.98041877615554,-0.165163937436499,22.8800961616671,
ARM,Armenia,2024,5378.31799981682,23.8327452429021,150.064726588742,0.269511978259125,2.30761515133256,22.8570663651858,
BOL,Bolivia,1994,1809.57065115273,14.371195053134,48.8608505020702,7.87404421467434,1.93553666553041,28.1333525548835,
BOL,Bolivia,1995,1858.78185214476,15.244003062267,49.737987097898,10.1932067630745,1.88896808659587,29.1427574218391,284000.0
BOL,Bolivia,1996,1904.28702213594,16.2372212746505,49.8562913723023,12.4254866180049,1.85028162992902,27.9548862100277,313000.0
