year,synthetic_no_georgia,gap_no_georgia,gap_pct_no_georgia
2000,1453.6409941589689,-224.4258897979489,-15.438880074223189
2001,1600.311593011231,-249.19086606568112,-15.57139666761961
2002,1722.5930908608962,-187.38856200902615,-10.878283618064172
2003,1868.599156682881,-108.9523083890208,-5.83069450713185
2004,2029.1809141367708,-73.95828954448075,-3.6447361114641263
2005,2221.741710676389,18.351021421490714,0.8259745646087686
2006,2430.78935497455,120.64610860997027,4.96324818779838
2007,2626.1635892518957,293.2099043854041,11.164952007766187
2008,2720.571058662928,420.760876344812,15.465902829665557
2009,2732.1758654370674,-15.20150263235746,-0.5563881456044437
2010,2873.6120385399972,-77.5306042595671,-2.6980191904735427
2011,3053.3533815701808,-109.51651037703095,-3.586761723620484
2012,3185.2273862294437,-25.468778360553642,-0.799590587179481
2013,3355.2392231892914,-88.94039319056128,-2.6507914123041223
2014,3488.3088848448415,-95.21636157600142,-2.7295851577156593
2015,3541.304617036086,-28.91111426899579,-0.8163972715002727
2016,3605.6428962729988,-71.7578602029289,-1.9901543848699486
2017,3748.5681259515513,66.80661665214848,1.782190276592346
2018,3914.116212613119,113.71771749667096,2.905322972532576
2019,4082.9396851601873,260.51871067000275,6.380665176536443
2020,3901.064911657734,131.0255228918163,3.358711681527437
2021,4004.3089926108214,260.4906224410488,6.505257784095431
2022,4099.280730612479,691.7240865093509,16.8742794642903
2023,4252.229337023624,945.0057531121265,22.22377200787551
2024,4422.685222517058,955.632777299762,21.607524144707003
