year,Albania,Bolivia,Bosnia and Herzegovina,Cambodia,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Georgia,Ghana,Guatemala,Honduras,Indonesia,Kazakhstan,Kenya,Kyrgyz Republic,Moldova,Mongolia,Morocco,Nepal,North Macedonia,Paraguay,Peru,Philippines,Rwanda,Senegal,Serbia,Tajikistan,Tunisia,Viet Nam
2000,-113.15763647986455,15.440407861216045,4.171193853680961,-38.36235089311867,227.746604979724,188.43892634431313,57.5234554517242,8.634783808345219,-215.78607028347665,40.94419205097597,164.02819039078304,14.958744366024348,-3.7082283026729783,146.2244361967605,44.55971310938594,2.8116859155434213,-31.061502095712513,78.00540744890509,-8.927031241162695,44.32975919014717,100.20334166625753,245.8182251926496,161.11069725012385,40.968274306477724,-216.12442273579694,58.34809644376355,-31.83685114548689,-44.476714512171384,-22.29220600779672,-3.3686093813271327
2001,11.582407496884116,10.685648538875512,-39.63521870126988,-48.22138969124035,205.7571071417915,223.72756850785981,49.393083424328324,14.820451843626415,-198.72966105123032,30.32943840828966,140.06161455188885,-14.756696042984686,-1.6137445568308522,663.5443252023997,33.648510662254694,13.134744220545144,-25.966329693107355,32.592856333561485,48.60525252688353,38.928135925651645,-50.761852334964715,92.46469224517296,14.5319457675605,20.67952679557152,-208.26858865881098,65.48958068558261,9.93758170498677,-39.16636952452251,-7.215293625684353,7.999996860526153
2002,13.031851364976319,16.72532796107248,-32.361160352672414,-74.37123801505777,221.96692582252626,272.32894682051074,33.678942588916925,-1.8846162682557406,-172.21354088787348,26.64872762899836,148.4320897776356,0.29205080114024895,6.813769638044505,986.8972080522199,-4.432412090969137,-8.266377261522507,6.383872556607685,-0.9903601881806026,43.26403835485371,0.9756474620035078,-59.40203159900102,-73.91695357347271,31.537778527365845,6.219730333081543,-158.879805175338,63.224606460559016,65.24382831654157,-28.924407379598847,-73.8232514301335,13.427475917824268
2003,5.577094547558318,-15.747757706101766,-17.270333025549917,-78.53932991496129,-84.60766296091697,176.9836456404937,-12.746367937144441,16.540783689629734,-78.69673427077282,16.54515027391176,109.0545406954052,-6.691229977490821,23.483126742162767,1561.7651313039305,-25.21407218752097,14.863181507202967,12.699731434517389,-66.4068863443913,74.68479394932729,13.015703730124187,-75.20537023683983,52.65098207956726,-62.30167341744436,48.63844886598599,-172.80929103167801,88.91529677756307,85.7781925405834,-1.9165027570852544,-20.16585998286837,8.221118143003423
2004,-12.149106445499001,-23.13886496109035,53.91037782208923,-73.45672428702517,-263.628533734709,230.81943518363096,-65.83628457605391,-8.24260555177807,-122.69370646048492,-8.42413573839508,89.91863417330023,6.4904680481556625,14.75401012754719,2021.2839525153404,-26.322167211608303,29.33440014187488,27.76407850062742,-7.272528280177539,43.291523343407334,12.809598490582061,-73.96034102637077,39.94955819767165,-163.78415101434257,82.24292708662483,-173.52610968577397,88.89625929765589,173.48652538774058,13.136293868425582,34.2427273541839,14.157154901445438
2005,-26.505974506224902,-18.77439069683669,4.347164468986648,-52.181759973200656,-137.2937739150002,254.47796750534872,-81.44540217731083,23.550011418943996,-44.75666107390498,-14.704869851139847,38.59166285870924,39.2403332471456,-2.875213575480757,2238.1619847903294,-19.52629723418545,-9.386364502896413,41.54492298573814,-66.18974800189471,-6.386223114094264,-1.491591754335218,-50.67619715221463,-115.65517581173845,-176.07116319823353,18.078308841321586,-160.18208382363497,86.51778158664501,228.36502328716142,10.28008751479149,13.816260305605738,-6.470411814140334
2006,-41.170469878664335,-30.81344890337141,-2.2671959260428594,-45.99956632310716,-79.75816108380332,140.86671824290534,-53.8708097200406,53.02264906545861,14.665811799258336,-27.28829270532765,3.591991708029582,69.05139972767051,-44.07815542374556,2545.6797122321705,-4.524530928544664,-21.111032376251046,25.507141882902715,-109.60908886540892,27.404067314815165,-17.286370220013964,-60.45352343977811,-157.9871433426406,-206.0477521713069,-31.344573413426133,-146.32678794628004,54.820891624609885,125.2305110744428,6.487977392349876,31.334586600476996,-32.2785629855789
2007,-75.8227576042259,-50.53093466373957,-7.886537055600456,-60.026107403662536,-93.56245430496256,-96.618049262368,-60.32446859824904,-31.26042338297293,140.02308215744597,-76.77127076453598,74.09529449827824,67.28850010891529,-66.51699702148062,2832.0909915925095,10.379838278786565,12.24431256888954,-71.6141497110707,-180.97064987799013,-33.70230407776853,-27.143103037501533,-30.737629183036915,-108.38679754303575,-185.4625642302999,-38.19025932771319,-139.42276997928002,19.21949490806651,235.13338255015515,5.041219142153523,65.46125608787179,-74.31954827216919
2008,-8.321853776732041,-43.21872075030933,79.31291354464202,-48.591902107551505,-221.93364032227964,-28.86123527546897,-9.475736112166487,-34.64608985717041,30.40014051778826,-52.93185044057395,41.221726593032145,60.78344841351418,-67.11939484192726,2907.5951662277103,-54.20121934258509,46.65686224082708,-7.761000437229995,-106.34825977275887,-20.098082888792305,-24.82129594591811,13.288866191360285,-24.912404636040264,-14.607833947774452,-43.46148867680449,-132.186796794977,42.587751506528775,446.7785563661755,-5.375351557961267,47.69297184958032,-91.14970032162614
2009,142.62563781013387,4.828233417917545,62.11789870609164,-16.235124540670995,-212.21727178852416,-12.986361554389987,93.79139140483221,-57.68656422869935,-21.141662196949255,-27.97390987017411,51.215616714379394,-37.8588367787479,-0.7186793723467417,2923.7495918162194,-51.970252043083974,56.58499332090446,-131.87170968825603,-135.55548412092412,38.251019786862344,-14.24178258157167,49.65637477695964,-62.12825186641294,59.44682722541893,-56.382087333364325,-138.778482260872,37.006773382838674,322.00210558348044,-12.209296198782681,163.86995520342725,8.313318744676735
2010,126.65497312382058,-54.13290154739252,-14.76768029263576,-44.58892197248997,-226.34813924258378,-202.88878091822698,86.60165996914702,-38.1749108687859,54.647073220750826,-10.433889519186778,17.321024098744147,-29.808445712521916,-5.806113925208592,3038.2502205434994,-7.96044483202536,9.970231852776237,-65.5484305388527,-202.82434704319894,2.326042208693252,-15.287240430375391,12.039777122457053,208.73723608208456,97.83272896187736,-63.95877392279317,-141.84605855972097,1.393359828550274,235.58651567572542,-2.804190475203768,163.56893671326725,-1.7343461517357355
2011,56.13043433229677,-59.391705173387436,-34.41751999561711,-66.12211344019215,-355.4688333799668,-56.75170258481103,65.29162714533913,0.9791148439667268,-7.15342696702055,62.04024100025822,-10.377971666630856,2.3473275910491793,-6.998923500282217,3449.7280990399395,6.855132469899672,29.734253706200093,-26.171370317565106,-40.980557411394784,24.278532425453704,-24.527453081028625,53.85806160143875,148.68983698255033,36.29067923142338,-90.40981362454795,-132.24101624700404,-41.937512578481346,42.912641652379534,-8.433530297244943,-26.268213556128103,-11.810478263276309
2012,26.588757971105224,-16.76708164588763,-70.94955201458106,-77.07658038136583,-293.2515301739322,140.83911151947814,38.87404831644926,52.22382307870248,-17.784967190809766,94.1172634325012,-70.93361964611859,17.259305725114245,11.681003782844073,3671.615842960451,6.711303325139852,-23.926037385399923,-121.29953238446888,52.97533992442459,-7.33217456793318,-27.053241111616444,8.3222205099637,-108.45130590191638,155.23548728751575,-32.31336453915446,-127.87396463435198,-50.165611891354274,-90.51315371621058,-3.989149148262868,48.657134362299985,-18.83668308253027
2013,-15.439914588657302,6.680619869978727,-58.938062725884265,-59.64447873177619,-392.8120740791883,198.2743155916669,-35.42605198344518,44.57402390937568,-92.72640959980072,93.46972931019945,-84.80755190296986,0.7675252419235221,-0.35209749928344536,3884.6918695779705,11.80868964889396,40.47408006599312,2.779561940444637,188.78109458103881,-33.014433668472066,-16.622424149408516,-29.106048488967645,8.933022561278449,81.17179255187057,-6.671467306057821,-139.145091395362,-83.40301935502544,-233.66431153708345,-3.5547115010076595,34.81327399414795,-60.013962657965294
